google_name,rating,review_count,business_status,google_address,place_id,Establishment Name,Address
FOUR20 Cannabis Dispensary Beltline,4.5,157,OPERATIONAL,"640 10 Ave SW, Calgary, AB T2R 0A9, Canada",ChIJ7W6qe99vcVMR01CC3C4r9bo,FOUR20,101-1022 17 AVE SW
FOUR20 Cannabis Dispensary Beltline,4.5,157,OPERATIONAL,"640 10 Ave SW, Calgary, AB T2R 0A9, Canada",ChIJ7W6qe99vcVMR01CC3C4r9bo,FOUR20,7111-8650 112 AVE NW
FOUR20 Cannabis Dispensary Beltline,4.5,157,OPERATIONAL,"640 10 Ave SW, Calgary, AB T2R 0A9, Canada",ChIJ7W6qe99vcVMR01CC3C4r9bo,Four20,120-6008 MACLEOD TRAIL SW
FOUR20 Cannabis Dispensary Beltline,4.5,157,OPERATIONAL,"640 10 Ave SW, Calgary, AB T2R 0A9, Canada",ChIJ7W6qe99vcVMR01CC3C4r9bo,Four20,917 1 AVE NE
FOUR20 Cannabis Dispensary Stephen Ave,4.4,194,OPERATIONAL,"121 8 Ave SW, Calgary, AB T2P 1B4, Canada",ChIJL7BYAsdvcVMRbJE5YvPYsoQ,FOUR20 Premium Market,3-2008 33 AVE SW
FOUR20 Cannabis Dispensary Stephen Ave,4.4,194,OPERATIONAL,"121 8 Ave SW, Calgary, AB T2P 1B4, Canada",ChIJL7BYAsdvcVMRbJE5YvPYsoQ,FOUR20 Premium Market,3011 26 AVE SW
FOUR20 Cannabis Dispensary Stephen Ave,4.4,194,OPERATIONAL,"121 8 Ave SW, Calgary, AB T2P 1B4, Canada",ChIJL7BYAsdvcVMRbJE5YvPYsoQ,FOUR20 Premium Market,1309 9 AVE SE
FOUR20 Cannabis Dispensary Stephen Ave,4.4,194,OPERATIONAL,"121 8 Ave SW, Calgary, AB T2P 1B4, Canada",ChIJL7BYAsdvcVMRbJE5YvPYsoQ,FOUR20 Premium Market,640 10 AVE SW
FOUR20 Cannabis Dispensary Stephen Ave,4.4,194,OPERATIONAL,"121 8 Ave SW, Calgary, AB T2P 1B4, Canada",ChIJL7BYAsdvcVMRbJE5YvPYsoQ,FOUR20 Premium Market,424 ERIN WOODS DR SE
FOUR20 Cannabis Dispensary Stephen Ave,4.4,194,OPERATIONAL,"121 8 Ave SW, Calgary, AB T2P 1B4, Canada",ChIJL7BYAsdvcVMRbJE5YvPYsoQ,FOUR20 Premium Market,B-121 8 AVE SW
Global Leaf,4.4,223,OPERATIONAL,"5401 Temple Dr NE unit #106, Calgary, AB T1Y 3R7, Canada",ChIJCV2NlitlcVMRjNRmRpIm2J0,Global Leaf,3-728 NORTHMOUNT DR NW
Global Leaf,4.4,223,OPERATIONAL,"5401 Temple Dr NE unit #106, Calgary, AB T1Y 3R7, Canada",ChIJCV2NlitlcVMRjNRmRpIm2J0,Global Leaf,106-5401 TEMPLE DR NE
Gramsterdam Cannabis,4.8,256,OPERATIONAL,"5700 Falsbridge Dr, Calgary, AB T3J 4T6, Canada",ChIJf3zZRwFjcVMRf8tP_Iw7c_U,Gramsterdam,14-5700 FALSBRIDGE DRIVE NE
GreenSpot,4.9,99,OPERATIONAL,"7523 Macleod Trl SW, Calgary, AB T2H 0L8, Canada",ChIJrYlnzDRxcVMR-eq7fFPXQe0,Green Guidance Cannabis Agency,1190 EVANSTON DR NW
Green Panda Cannabis Weed Dispensary,3.5,41,OPERATIONAL,"60 Bowridge Dr NW Bay 130, Calgary, AB T3B 2T9, Canada",ChIJDxtT6alvcVMRwdJ62ih3TK8,Green Panda Cannabis,130-60 BOWRIDGE DR NW
Greenlife Cannabis,4.0,19,OPERATIONAL,"3304 64 St NE Unit 6, Calgary, AB T1Y 5R4, Canada",ChIJ4XQ8B5xjcVMRlePLNiGmKro,Greenlife Cannabis,6-3304 64 ST NE
GreenSpot,4.9,99,OPERATIONAL,"7523 Macleod Trl SW, Calgary, AB T2H 0L8, Canada",ChIJrYlnzDRxcVMR-eq7fFPXQe0,Greenspot Shop,7523 MACLEOD TRAIL SW
Record High Cannabis | Weed Dispensary & Delivery,4.8,160,OPERATIONAL,"1907 20 Ave NW, Calgary, AB T2M 1H6, Canada",ChIJLy6_2ZdvcVMR8QgVjkfH-pg,High Tide Inc.,112-11127 15 ST NE
Highland Buds,4.7,140,OPERATIONAL,"118 40 Ave NW, Calgary, AB T2K 0E3, Canada",ChIJvWopqxdlcVMRViBDtjCQI44,Highland Buds,118 40 AVE NW
Highland Buds,4.7,140,OPERATIONAL,"118 40 Ave NW, Calgary, AB T2K 0E3, Canada",ChIJvWopqxdlcVMRViBDtjCQI44,Highland Buds,26-5010 4 ST NE
In n Out Cannabis Discounter Kensington,4.5,35,OPERATIONAL,"2604 Kensington Rd NW, Calgary, AB T2N 3S5, Canada",ChIJpzVr68tvcVMRX1ZABEi65As,In N Out Cannabis Discounter,B-2604 KENSINGTON RD NW
Kindling,5.0,12,OPERATIONAL,"37 4 St NE, Calgary, AB T2E 3R6, Canada",ChIJ7QwjMh1lcVMRu68a6f1jTN4,Kindling Cannabis 4th St,37 4 ST NE
Kozmic Kush,3.4,98,OPERATIONAL,"430 Acadia Dr SE #18, Calgary, AB T2J 0A9, Canada",ChIJGQ3lhJBxcVMRGxKBjamSREg,Kozmic Kush Cannabis,18-430 ACADIA DR SE
Lake City Cannabis,4.9,201,OPERATIONAL,"22 Richard Way SW #6, Calgary, AB T3E 7M7, Canada",ChIJc-n5ZPZxcVMRpsDZPnFQ5_Q,Lake City Cannabis,6-22 RICHARD WAY SW
Lakeside Cannabis,5.0,94,OPERATIONAL,"1276 68 St SE, Calgary, AB T2A 7X7, Canada",ChIJhRRor-Z7cVMRw0yMnHJjpP4,Lakeside Cannabis,1276 68 ST SE
Leaf Life Cannabis Weed Dispensary - Stampede Station,4.4,48,OPERATIONAL,"1331 Macleod Trl SE, Calgary, AB T2G 0K3, Canada",ChIJH5I5RBFxcVMRze8ZvWA2KX0,Leaf Life,103-1331 MACLEOD TRAIL SE
Leaf Life Cannabis Weed Dispensary - Stampede Station,4.4,48,OPERATIONAL,"1331 Macleod Trl SE, Calgary, AB T2G 0K3, Canada",ChIJH5I5RBFxcVMRze8ZvWA2KX0,Leaf Life,10109 HIDDEN VALLEY DR NW
Leaf Life Cannabis Weed Dispensary - Stampede Station,4.4,48,OPERATIONAL,"1331 Macleod Trl SE, Calgary, AB T2G 0K3, Canada",ChIJH5I5RBFxcVMRze8ZvWA2KX0,Leaf Life,310-11877 SARCEE TRAIL NW
