google_name,rating,review_count,business_status,google_address,place_id,Establishment Name,Address
Value Buds Summerside,4.3,86,OPERATIONAL,"936 91 St SW, Edmonton, AB T6X 0P2, Canada",ChIJj8TFbJcfoFMR8p8QUeizijw,Value Buds at Summerside,936 91 ST SW
Value Buds The Meadows,3.9,156,OPERATIONAL,"1938 38 Ave NW, Edmonton, AB T6T 0B9, Canada",ChIJKU0C3WsZoFMRAkhykHZ4Ux8,Value Buds at the Meadows,1938 38 AVE NW
Value Buds West Granville,4.1,17,OPERATIONAL,"7127 Winterburn Rd NW, Edmonton, AB T5T 4K2, Canada",ChIJ8wSDCCeLn1MRp0r-Vpx8Fgw,Value Buds at West Granville,7127 WINTERBURN RD NW
Viridis Cannabis,5.0,2,CLOSED_PERMANENTLY,"17912 107 Ave NW, Edmonton, AB T5S 1J1, Canada",ChIJSf_CTBshoFMRnwBVGhLgZSg,Viridis Cannabis,17912 107 AVE NW
Wake N' Bake Cannabis Hazeldean,4.8,100,OPERATIONAL,"6609 99 St NW, Edmonton, AB T6E 3P7, Canada",ChIJ5fVQ86UYoFMR1gPuFywmYQw,Wake N' Bake Cannabis,6609 99 ST NW
Wake N' Bake Cannabis Hazeldean,4.8,100,OPERATIONAL,"6609 99 St NW, Edmonton, AB T6E 3P7, Canada",ChIJ5fVQ86UYoFMR1gPuFywmYQw,Wake N' Bake Cannabis,3725 118 AVE NW
Wake N' Bake Cannabis Hazeldean,4.8,100,OPERATIONAL,"6609 99 St NW, Edmonton, AB T6E 3P7, Canada",ChIJ5fVQ86UYoFMR1gPuFywmYQw,Wake N' Bake Cannabis,16624 109 AVE NW
Wake N' Bake Cannabis Hazeldean,4.8,100,OPERATIONAL,"6609 99 St NW, Edmonton, AB T6E 3P7, Canada",ChIJ5fVQ86UYoFMR1gPuFywmYQw,Wake N' Bake Cannabis,101-16761 91 ST NW
Wake N' Bake Cannabis Hazeldean,4.8,100,OPERATIONAL,"6609 99 St NW, Edmonton, AB T6E 3P7, Canada",ChIJ5fVQ86UYoFMR1gPuFywmYQw,Wake N' Bake Cannabis,6937 ELLERSLIE RD SW
Wake N' Bake Cannabis Hazeldean,4.8,100,OPERATIONAL,"6609 99 St NW, Edmonton, AB T6E 3P7, Canada",ChIJ5fVQ86UYoFMR1gPuFywmYQw,Wake N' Bake Cannabis,1091 KNOTTWOOD ROAD EAST  NW
Wake N' Bake Cannabis Hazeldean,4.8,100,OPERATIONAL,"6609 99 St NW, Edmonton, AB T6E 3P7, Canada",ChIJ5fVQ86UYoFMR1gPuFywmYQw,Wake N' Bake Cannabis,858 119 STREET SW
